"08.711.210/0001-08";"MASSA FALIDA USINA SANTA MARIA SOCIEDADE ANONIMA";"USINA SANTA MARIA";"91.244.008,88"
"02.443.431/0001-58";"MASSA FALIDA DA SINGULARE PREMOLDADOS EM CONCRETO EIRELI";;"91.139.015,48"
"49.033.814/0001-11";"MASSA FALIDA BARBER GREENE DO BRASIL INDUSTRIA E COM SA";;"89.862.320,95"
"00.015.749/0001-02";"MASSA FALIDA DE TEXTIL CRYB LTDA";"CRYB";"88.734.952,53"
"19.791.318/0001-66";"MASSA FALIDA DE LUNDGREN IRMAOS TECIDOS INDUSTRIA E COMERCIO SA  CASAS PERNAMBUCANAS";"CASAS PERNAMBUCANAS";"88.061.434,42"
"92.681.766/0001-05";"CROMA INDUSTRIAS ALIMENTARES S A  MASSA FALIDA";;"87.989.311,75"
"43.521.988/0001-47";"MASSA FALIDA DE INDUSTRIA METALURGICA BAPTISTUCCI LTDA";;"80.116.600,27"
"03.052.281/0001-14";"IFN INDUSTRIA FERROVIARIA NACIONAL LTDA MASSA FALIDA";;"79.509.841,65"
"39.307.517/0001-63";"MASSA FALIDA DE PRORIBEIRO ADMINISTRACAO E ORGANIZACAO DE COMERCIO LTDA";"PRORIBEIRO";"77.577.156,58"
"43.521.129/0001-58";"LABORATORIO KINDER LTDA MASSA FALIDA";;"77.377.395,26"
"00.254.467/0001-68";"MASSA FALIDA CNA CENTRAL NACIONAL DE ALIMENTOS LTDA";"GAUCHA";"75.952.071,57"
"00.617.236/0001-71";"MASSA FALIDA DA CONCRETA SERVICOS DE VIGILANCIA LTDA";;"73.303.515,56"
"17.194.044/0001-00";"MASSA FALIDA DE ORGANIZACOES ERIL SA";;"72.147.926,42"
"83.094.193/0001-14";"MASSA FALIDA DE INTERFIBRA INDUSTRIAL SA";;"69.512.462,80"
"95.237.418/0001-23";"EMS ELETROMECANICA SILVESTRINI LTDA  MASSA FALIDA";"E M S";"69.251.983,50"
"83.635.235/0001-87";"MASSA FALIDA DE PROFIPLAST INDUSTRIAL SA";;"67.820.810,47"
"08.877.130/0001-19";"MASSA FALIDA DE ACRESCENTE INDUSTRIA E COMERCIO S.A.";;"66.809.198,61"
"14.984.579/0001-89";"MASSA FALIDA DE VIACAO ESTRELA DALVA LTDA";"ESTRELA DALVA";"66.153.965,36"
"92.842.657/0001-14";"VANOIIL DROGARIAS E FARMCIAS LTDA  MASSA FALIDA";;"62.890.054,22"
"91.614.131/0001-14";"FRIGORIFICO BASSANENSE SA MASSA FALIDA";;"62.224.573,21"
"06.086.633/0001-40";"MASSA FALIDA DA MTP FABRIL TUDOS DE ACO E SERVICOS LTDA EM RECUPERACAO JUDICIAL";;"60.435.267,26"
"58.257.619/0001-66";"MASSA FALIDA DO BANCO SANTOS";;"59.081.243,08"
"19.889.955/0001-70";"MASSA FALIDA DE RABELO INDUSTRIA E COMERCIO LTDA";;"58.535.633,89"
"65.232.860/0001-04";"MASSA FALIDA DE RONDA SERVICOS ESPECIAIS DE VIGILANCIA LTDA";;"57.957.142,44"
"40.494.619/0001-14";"MASSA FALIDA DE BRAIN TECNOLOGIA LTDA";;"57.266.446,94"
"57.482.713/0001-56";"HERAL S A INDUSTRIA METALURGICA MASSA FALIDA";;"56.630.649,45"
"23.186.158/0001-01";"MASSA FALIDA DE CEREALISTA INTERNACIONAL LTDA";;"56.249.171,12"
"07.544.068/0001-80";"MASSA FALIDA DE ADMINAS ADMINISTRACAO E TERCEIRIZACAO DE MAO DE OBRA LTDA";"ADMINAS";"54.322.962,60"
"01.596.717/0001-00";"PAUMARLEI INDUSTRIA ECOMERCIO DE BEBIDAS LTDA  MASSA FALIDA";"REFRIGERANTE JAO";"53.218.615,25"
"23.421.936/0001-91";"MASSA FALIDA DE TIP TOP ALIMENTOS DO BRASIL LTDA";;"52.616.526,46"
"23.654.551/0001-74";"G. M. COSTA TRANSPORTES LTDA  MASSA FALIDA";"G M COSTA";"52.341.688,98"
"31.687.429/0001-22";"MASSA FALIDA DE CONSERVAS PIRACEMA SA";;"51.745.308,47"
"17.266.529/0001-54";"MASSA FALIDA DE UNISA UNIAO INDUSTRIAL DE BORRACHA S.A.";;"51.514.877,44"
"45.170.289/0001-25";"MASSA FALIDA DE DARUMA TELECOMUNICACOES E INFORMATICA SA";"DARUMA TECNOLOGIA";"51.261.849,97"
"22.196.430/0001-63";"MASSA FALIDA DE HABITARE CONSTRUTORA E INCORPORADORA S.A";"HABITARE CONSTRUTORA";"50.855.544,08"
"61.270.799/0001-20";"MASSA FALIDA DE OSATO ALIMENTOS SA";;"50.233.370,74"
"03.815.738/0011-77";"CIRIO BRASIL SA  MASSA FALIDA";"CIRIO BRASIL";"49.932.571,49"
"61.418.380/0001-73";"CERVIN COMERCIO E REPRESENTACOES LTDA MASSA FALIDA";;"49.792.769,72"
"17.312.786/0001-85";"CORVAL CORRETORA DE VALORES MOBILIARIOS  MASSA FALIDA";;"49.246.741,26"
"86.373.776/0001-72";"MASSA FALIDA DA MAXIMA VEICULOS LTDA";"MAXIMA";"49.236.835,42"
"09.101.226/0001-53";"MASSA FALIDA MAIS COMERCIO VAREJISTA ATACADISTA TRANSPORTADORA IMPORTADORA E EXPORTADORA DE PRODUTOS ALIMENTICIOS LTDA";"MAIS ATACADISTA";"49.173.067,34"
"87.525.010/0001-29";"WR TEXTIL INDUSTRIA E COMERCIO LTDA  MASSA FALIDA";"EMPORIO DE TECIDOS";"48.614.878,60"
"67.726.505/0001-09";"MASSA FALIDA DE TM SOLUTIONS  TECNOLOGIA DA INFORMACAO LTDA.";"TM SOLUTIONS";"48.332.994,73"
"07.752.894/0001-15";"MASSA FALIDA DE CENTRAL ENERGETICA PARAISO S. A.";;"48.172.356,97"
"02.403.427/0001-66";"MASSA FALIDA DA NEONUTRI SUPLEMENTOS NUTRICIONAIS LTDA";"NEONUTRI";"48.059.698,27"
"53.196.655/0001-43";"SALIONI ENGENHARIA INDUSTRIA E COMERCIO LTDA  MASSA FALIDA";;"47.427.568,30"
"76.777.556/0001-50";"ATACADO LIDERANCA DE TECIDOS E CONFECCOES EIRELI MASSA FALIDA";"ATACADO LIDERANCA";"47.115.740,03"
"92.790.674/0001-55";"SAOEX S A SEGURADORA E PREVIDENCIA PRIVADA  MASSA FALIDA";"SAOEX";"47.033.255,75"
"01.520.831/0001-57";"MASSA FALIDA DE INDUSTRIA DE REFRIGERANTES SERRA DO CURRAL LTDA";;"46.307.224,46"
"30.069.819/0001-76";"MASSA FALIDA DE SUL ATLANTICO DE ALIMENTOS SA INDUSTRIA E COMERCIO";"SUL ATLANTICO ALIMENTOS";"46.271.600,50"
"08.045.552/0001-28";"MASSA FALIDA GRUPAL AGROINDUSTRIAL SA.";"GRUPAL";"46.096.885,79"
"01.556.141/0065-12";"MASSA FALIDA  ENCOL SA ENGENHARIA COMERCIO E INDUSTRIA";;"45.500.428,10"
"61.612.289/0001-94";"VIACAO CASTELO CENTRAL LTDA MASSA FALIDA";;"45.013.167,97"
"45.926.888/0001-26";"MASSA FALIDA DE CAL SINHA S A INDUSTRIA E COMERCIO DE CALCAREOS";;"44.975.034,85"
"17.170.259/0001-83";"MASSA FALIDA DE ALIS ENGENHARIA SA";"ALIS ENGENHARIA EST UNIF";"44.941.366,00"
"32.254.138/0001-03";"MASSA FALIDA DO BANCO BVA S.A.";"BVA";"44.524.876,99"
"73.634.503/0001-92";"MASSA FALIDA DA COOPERATIVA DE CREDITO RURAL DE MACAE LTDA";"CREDINORTE";"44.402.840,12"
"04.598.060/0001-09";"MASSA FALIDA CALCADOS PANDORGA LTDA";;"44.343.163,57"
"02.756.743/0001-11";"POOL SERVICE COMERCIAL IMPORTADORA E EXPORTADORA E ASSESSORIA INTERNACIONAL LTDA MASSA FALIDA";;"44.260.618,30"
"10.775.740/0001-53";"MASSA FALIDA DA CIA ACUCAREIRA SANTO ANDRE DO RIO UNA";;"43.685.005,58"
"61.576.948/0001-84";"MASSA FALIDA DE JOIA INDUSTRIA E COMERCIO DE ARTEFATOS DE MADEIRA LTDA";;"43.156.065,26"
"01.556.141/0007-43";"MASSA FALIDA  ENCOL SA ENGENHARIA COMERCIO E INDUSTRIA";;"42.905.585,57"
"50.932.375/0001-68";"MASSA FALIDA DA INDUSTRIA MECANICA JUN BRASIL LTDA";;"42.834.765,32"
"97.755.953/0001-00";"MASSA FALIDA DE CALCADOS MONTSENY LTDA";"MONTSENY";"42.512.713,54"
"16.668.394/0001-90";"MASSA FALIDA DE ENGELMINAS CONSTRUCOES ELETRICAS LTDA";;"42.050.845,64"
"08.653.697/0001-01";"MASSA FALIDA DE AQCES LOGISTICA NACIONAL LTDA";"AQCES NACIONAL";"41.823.400,71"
"80.975.717/0001-98";"MASSA FALIDA DE BUS CAR INVESTIMENTOS E EMPREENDIMENTOS LTDA";;"41.804.298,71"
"43.460.666/0001-35";"MASSA FALIDA DA CERAMICA GERBI LTDA";"GERBI";"41.112.234,64"
"00.537.541/0001-53";"MASSA FALIDA DE MEGAWARE INDUSTRIAL LTDA";"MEGAWARE";"40.753.601,73"
"03.730.951/0001-04";"MASSA FALIDA DE PAX SAUDE LTDA";"UNIPAX SAUDE";"40.668.062,24"
"60.883.170/0003-55";"MASSA FALIDA OMEGA SA ARTEFATOS DE BORRACHA";;"40.464.568,22"
"76.652.841/0001-45";"AGOTRAN AGOSTINETTO TRANSPORTES DE CEREAIS LTDA MASSA FALIDA";;"38.114.144,37"
"05.525.999/0001-06";"MASSA FALIDA DE COBIMEX CONNECT BRASIL IMPOR EXPORT LTDA";"COBIMEX";"37.116.783,24"
"04.538.833/0001-61";"MASSA FALIDA DE PUMA AIR LINHAS AEREAS LTDA";"PUMA AIR";"36.661.671,28"
"19.753.086/0001-51";"MASSA FALIDA DE EXPRESSO CONTAGEM LTDA";;"36.346.496,53"
"01.163.557/0001-06";"MASSA FALIDA DA QUELPS COMERCIO DISTRIBUICAO E REPRESENTACAO LTDA";;"35.976.443,57"
"58.344.706/0001-50";"AURO TECNOLOGIA INFORMATICA LTDA MASSA FALIDA";;"35.636.420,52"
"05.897.297/0001-53";"METALASER INDUSTRIA DE PECAS MECANICAS EIRELI  MASSA FALIDA";;"35.597.809,04"
"53.246.997/0001-20";"MASSA FALIDA DE MACROMED COMERCIO DE MATERIAL MEDICO E HOSPITALAR LTDA.";"MACROMED";"35.345.272,63"
"03.252.729/0001-43";"MASSA FALIDA DE GOMES & FILHOS  USINAGEM E CALDERARIA LTDA";;"35.265.975,44"
"05.720.289/0001-37";"MASSA FALIDA DE CAMELO RIBEIRO & CIA LTDA";"CAMELO MAGAZINE";"34.702.113,89"
"92.754.191/0001-03";"MASSA FALIDA DE J H SANTOS SA COMERCIO E INDUSTRIA";"J H SANTOS";"34.343.936,65"
"82.075.797/0001-50";"HIGIE BRAS INDUSTRIA E COMERCIO LTDA MASSA FALIDA";"HIGIE BRAS";"34.215.786,74"
"53.035.259/0001-34";"MASSA FALIDA DA ASA SERVICOS DE LIMOPEZA LTDA";;"33.346.640,08"
"22.312.045/0001-34";"XINGULEDER COUROS LTDA MASSA FALIDA";;"33.093.488,91"
"90.326.315/0001-16";"MASSA FALIDA CURTIPELLI INDUSTRIA E COMERCIO DE COUROS LTDA";;"32.780.772,61"
"01.556.141/0036-88";"MASSA FALIDA  ENCOL SA ENGENHARIA COMERCIO E INDUSTRIA";;"32.247.046,00"
"05.932.790/0001-67";"G BABY INDUSTRIA E COMERCIO DE CONFECCOES E ACESSORIOS EIRELI MASSA FALIDA";;"32.238.166,58"
"47.724.026/0001-46";"MASSA FALIDA DA INASA HOSPITALAR SA";;"31.885.868,92"
"18.289.447/0001-98";"MASSA FALIDA DE MECA S. A. ENGENHARIA INDUSTRIA E COMERCIO";"MECA";"31.810.180,92"
"01.556.141/0060-08";"MASSA FALIDA  ENCOL SA ENGENHARIA COMERCIO E INDUSTRIA";;"31.520.108,81"
"47.335.377/0001-65";"RAMON INDUSTRIA DE PLASTICOS LTDA. MASSA FALIDA";;"31.437.825,36"
"95.792.123/0001-19";"MASSA FALIDA DE ILHABELA EMBALAGENS LTDA";;"31.064.706,40"
"18.299.370/0001-37";"MASSA FALIDA DE SEMPRE VIVA   MINERACAO CONSTRUCOES E TRANSPORTES LTDA";;"31.032.838,15"
"61.194.759/0001-47";"MASSA FALIDA DA WAL LUDSON INDUSTRIA DE ESPUMA E COLCHOES LTDA";"SONOLAR";"29.696.458,23"
"86.883.543/0001-10";"ELKA INDUSTRIA DE CONEXOES HIDRAULICAS LTDA MASSA FALIDA";"ELKA CONEXOES HIDRAULICAS";"29.489.379,02"
"33.273.582/0001-39";"MASSA FALIDA DE SOTECAL SOCIEDADE TECNICA DE ESTRUTURAS E CALDEIRARIA S.A";;"29.192.728,86"
"22.372.635/0001-52";"MASSA FALIDA DE DEMETAL ENGENHARIA E CONSTRUCOES LTDA";;"29.066.761,06"
"55.317.390/0001-10";"REPRESENTACOES COMERCIAIS TIRRENO LTDA MASSA FALIDA";;"28.878.858,75"
"65.097.172/0001-70";"MASSA FALIDA AGROPECUARIA MINAS RANCHO LTDA";"LATICINIOS MINAS RANCHO";"28.729.084,92"
"11.209.849/0001-96";"IFFORMAS INDUSTRIA DE COMPONENTES PARA CALCADOS LTDA  MASSA FALIDA";;"28.432.485,33"
"02.434.919/0001-19";"CIDADE DE IBIUNA LTDA MASSA FALIDA";;"28.248.540,68"
"05.823.939/0001-70";"MASSA FALIDA DA CROWN PROCESSAMENTO DE DADOS SA";"CROWN TELECOM";"27.900.333,08"
"22.498.984/0001-15";"MASSA FALIDA DE ENGEMAVI CONSTRUCOES LTDA";;"27.668.111,94"
"95.195.186/0001-98";"MASSA FALIDA INDUSTRIAS BERGER SA COUROS E CALCADOS";;"27.641.292,69"
"91.664.706/0001-03";"LANIFICIO SEHBE SA INDUSTRIAS E EXPORTACAO MASSA FALIDA";;"27.331.219,85"
"92.672.195/0001-34";"CARRO DO POVO SA COMERCIAL E TECNICA  MASSA FALIDA";;"26.880.454,55"
"04.629.079/0001-75";"MASSA FALIDA DA DISTRIBUIDORA NOVA EUROPA COMERCIO REPRESENTACOES E TRANSPORTE LTDA";"DISTRIBUIDORA NOVA OPCAO";"26.866.163,44"
"08.228.323/0001-49";"MASSA FALIDA DE HWC EMPREENDIMENTOS LTDA";"GRUPO OPEN";"26.768.903,33"
"61.270.799/0002-01";"MASSA FALIDA DE OSATO ALIMENTOS SA";;"26.536.077,91"
"55.317.390/0002-09";"REPRESENTACOES COMERCIAIS TIRRENO LTDA MASSA FALIDA";;"26.512.961,89"
"44.212.652/0001-65";"MASSA FALIDA DA IPAR  RECICLADORA DE PAPEL ARARENSE SA";;"26.419.047,69"
"24.087.405/0001-77";"MASSA FALIDA DE INDUSTRIAL SAO SEBASTIAO SA";"FABRICA DE FERRAMENTAS AGRICOLAS TARZA";"26.341.078,47"
"44.487.999/0001-10";"SALIONE MINERACAO LTDA  MASSA FALIDA";;"26.251.356,94"
"91.669.234/0001-81";"MASSA FALIDA DE HASS SA INDUSTRIA E COMERCIO";;"26.242.865,59"
"86.585.023/0001-20";"MASSA FALIDA DE TECNACO INDUSTRIA E COMERCIO LTDA";"TECNACO TECNOLOGIA EM ACO";"25.899.742,40"
"05.849.627/0001-35";"MASSA FALIDA DE SUSTENTA PERFIS METALICOS LTDA";;"25.714.054,09"
"01.556.141/0063-50";"MASSA FALIDA  ENCOL SA ENGENHARIA COMERCIO E INDUSTRIA";;"25.630.239,86"
"15.400.613/0001-93";"METALURGICA SABIA LTDA MASSA FALIDA";"METALURGICA SABIA";"25.304.778,74"
"87.104.170/0001-02";"LABORATORIO FARMACEUTICO FLORA DA INDIA LTDA  MASSA FALIDA";;"25.287.053,02"
"07.084.894/0001-94";"MASSA FALIDA DE ATIBAIA ALIMENTOS ABATEDOURO DE AVES LTDA";;"25.219.758,10"
"42.899.617/0001-30";"MASSA FALIDA DE ACAO DISTRIBUIDORA DE MEDICAMENTOS LTDA";;"24.699.313,64"
"49.467.814/0001-20";"MASSA FALIDA DE CONFECCOES ESPORTIVAS DELL ERBA LTDA";;"24.534.603,41"
"92.193.242/0001-67";"MASSA FALIDA DE AGAPE S.A. INDUSTRIA DA ALIMENTACAO";"AGAPE";"24.473.229,36"
"03.473.628/0001-00";"MASSA FALIDA CAL COMPONENTES AUTOMOTIVOS LTDA";"ORIGINAL";"24.166.725,58"
"30.543.516/0001-43";"MASSA FALIDA DE GRUBB REPRESENTACAO COMERCIO E INDUSTRIA DE ROUPAS LTDA";;"24.111.430,47"
"02.228.144/0001-25";"FELIX FORMAS E COMPONENTES LTDA  MASSA FALIDA";;"23.872.723,84"
"33.022.021/0001-67";"MASSA FALIDA COMERCIO E INDUSTRIA GOFRA SA";"INEGA";"23.733.613,19"
"20.148.169/0001-09";"MASSA FALIDA DE SIDERURGICA SAO JOAO SA";;"23.719.351,95"
"05.687.326/0001-52";"TOCANTINS INDUSTRIA E COMERCIO DE TINTAS LTDA  MASSA FALIDA";"TINTAS COLORIN";"23.714.753,95"
"00.340.085/0001-57";"MASSA FALIDA DE SUN CREDIT ALIMENTOS LTDA";;"23.548.713,69"
"53.239.034/0001-08";"MASSA FALIDA DE VITROQUIMICA INDUSTRIA E COMERCIO LIMITADA";"VITROQUIMICA";"23.539.423,39"
"00.504.090/0001-58";"BANDEIRANTES SOLUCOES GRAFICAS LTDA MASSA FALIDA";;"23.206.413,55"
"83.537.704/0001-25";"MASSA FALIDA DE TSA TECNOLOGIA";;"23.169.232,13"
"25.707.399/0001-76";"MASSA FALIDA DA DAMAG INDUSTRIA E COMERCIO DE ALIMENTOS LTDA";;"23.048.704,80"
"59.372.664/0001-24";"MASSA FALIDA DA NTL TEXTIL LTDA";;"23.026.630,53"
"15.760.531/0001-50";"MASSA FALIDA SERVINORTE SERVIOS GERAIS LTDA";"SERVINORTE";"22.814.503,43"
"92.750.959/0001-62";"COSTI SA IND COM AGRIC E PECUARIA  MASSA FALIDA";"FRIGORIFICO COSTI";"22.753.964,99"
"59.751.883/0001-14";"MASSA FALIDA DE TIRADENTES COMERCIO DE FERRO E ACO LTDA.";;"22.629.698,56"
"67.164.947/0001-09";"MASSA FALIDA DE JUND SERV SERVICOS DE PORTARIA LIMPEZA E CONSERVACAO LTDA";;"22.615.079,37"
"52.976.123/0001-66";"MASSA FALIDA DE JULIE JOY INDUSTRIA E COMERCIO LTDA";;"22.505.121,26"
"92.660.141/0001-59";"ESTALEIRO SO SA  MASSA FALIDA";;"22.358.073,21"
"61.080.982/0001-63";"MASSA FALIDA MASSARI SA IND DE VIATURAS";;"22.288.749,48"
"62.413.646/0001-58";"MASSA FALIDA DE GABIART INDUSTRIA E COMERCIO DE MOVEIS LTDA";;"22.133.609,52"
"09.413.424/0001-52";"MASSA FALIDA DA INDUSTRIA E COMERCIO DE FITAS SIDERACO LTDA";;"22.086.164,36"
"07.197.916/0001-22";"THOMAZ POMPEU FIACAO E TECELAGEM S A MASSA FALIDA";;"22.057.430,48"
"88.167.333/0001-50";"LIEME INDUSTRIA METALURGICA LTDA. MASSA FALIDA";;"21.976.007,01"
"01.556.141/0074-03";"MASSA FALIDA  ENCOL SA ENGENHARIA COMERCIO E INDUSTRIA";;"21.464.281,26"
"61.091.187/0001-70";"MASSA FALIDA DA ELLEN METALURGICA E CROMEACAO LIMITADA";"ELLEN";"21.457.116,18"
"17.016.726/0001-15";"MASSA FALIDA DE HOSPITAL DOM BOSCO SA";;"21.355.585,01"
"24.989.857/0001-44";"MASSA FALIDA IRMAOS GUISCEM COMPANHIA LTDA";"MATRIZ";"21.213.174,81"
